Date,WFC
2016-04-28,38.73255920410156
2016-04-29,38.40216827392578
2016-05-02,38.8708610534668
2016-05-03,38.41754150390625
2016-05-04,37.891056060791016
2016-05-05,37.90653991699219
2016-05-06,37.95298767089844
2016-05-09,37.844608306884766
2016-05-10,38.2472038269043
2016-05-11,37.99945068359375
2016-05-12,38.092369079589844
2016-05-13,37.34910202026367
2016-05-16,37.372318267822266
2016-05-17,36.869056701660156
2016-05-18,37.66653823852539
2016-05-19,37.45747756958008
2016-05-20,37.74394607543945
2016-05-23,37.705238342285156
2016-05-24,38.092369079589844
2016-05-25,39.098854064941406
2016-05-26,39.1375732421875
2016-05-27,39.369850158691406
2016-05-31,39.269195556640625
2016-06-01,39.4859733581543
2016-06-02,39.57114791870117
2016-06-03,38.858848571777344
2016-06-06,39.091121673583984
