Date,LNZ.VI
2016-05-25,64.275634765625
2016-05-27,64.11244201660156
2016-05-30,64.11244201660156
2016-05-31,64.0735855102539
2016-06-01,63.99588394165039
2016-06-02,63.52960968017578
2016-06-03,64.35335540771484
2016-06-06,64.41551971435547
2016-06-07,65.71331024169922
2016-06-08,66.05524444580078
2016-06-09,66.83236694335938
2016-06-10,68.23118591308594
2016-06-13,65.5423583984375
2016-06-14,65.2004165649414
2016-06-15,65.97753143310547
2016-06-16,62.806884765625
2016-06-17,62.3950080871582
2016-06-20,64.90511322021484
2016-06-21,64.35335540771484
2016-06-22,64.6175765991211
2016-06-23,64.49323272705078
2016-06-24,60.85630798339844
2016-06-27,59.81497573852539
2016-06-28,60.83300018310547
2016-06-29,63.933712005615234
2016-06-30,64.50100708007812
2016-07-01,65.8609619140625
