Date,AUTOIETF.NS
2022-10-19,12.807000160217285
2022-10-20,12.807999610900879
2022-10-21,12.826000213623047
2022-10-24,12.92300033569336
2022-10-25,13.07800006866455
2022-10-27,13.085000038146973
2022-10-28,13.291000366210938
2022-10-31,13.484000205993652
2022-11-01,13.520999908447266
2022-11-02,13.413000106811523
2022-11-03,13.362000465393066
2022-11-04,13.375
2022-11-07,13.541999816894531
2022-11-09,13.486000061035156
2022-11-10,13.237000465393066
2022-11-11,13.192000389099121
2022-11-14,13.234999656677246
2022-11-15,13.307999610900879
2022-11-16,13.210000038146973
2022-11-17,13.067999839782715
2022-11-18,12.880999565124512
2022-11-21,12.847999572753906
2022-11-22,12.878999710083008
2022-11-23,12.890999794006348
2022-11-24,12.954999923706055
2022-11-25,13.088000297546387
2022-11-28,13.17300033569336
