Date,JYSK.CO
2016-05-26,247.33462524414062
2016-05-27,251.7081298828125
2016-05-30,251.7081298828125
2016-05-31,249.84706115722656
2016-06-01,248.91653442382812
2016-06-02,248.45127868652344
2016-06-03,244.72915649414062
2016-06-06,246.68325805664062
2016-06-07,253.01084899902344
2016-06-08,248.0790557861328
2016-06-09,243.51947021484375
2016-06-10,234.21417236328125
2016-06-13,232.72535705566406
2016-06-14,232.4461669921875
2016-06-15,238.49459838867188
2016-06-16,234.40028381347656
2016-06-17,243.70556640625
2016-06-20,248.91653442382812
2016-06-21,251.6150665283203
2016-06-22,250.033203125
2016-06-23,255.89552307128906
2016-06-24,239.14598083496094
2016-06-27,224.07142639160156
2016-06-28,231.3295440673828
2016-06-29,233.7489013671875
2016-06-30,235.23777770996094
2016-07-01,237.65713500976562
