Date,ELGIEQUIP.NS
2016-05-27,78.24319458007812
2016-05-30,84.1370849609375
2016-05-31,83.23031616210938
2016-06-01,80.36690521240234
2016-06-02,81.79861450195312
2016-06-03,79.65104675292969
2016-06-06,78.12388610839844
2016-06-07,83.5882568359375
2016-06-08,81.96566772460938
2016-06-09,81.63159942626953
2016-06-10,80.12826538085938
2016-06-13,80.70098114013672
2016-06-14,80.60552978515625
2016-06-15,84.70976257324219
2016-06-16,81.7747573852539
2016-06-17,81.17821502685547
2016-06-20,81.22593688964844
2016-06-21,81.60772705078125
2016-06-22,81.20207214355469
2016-06-23,81.08277130126953
2016-06-24,80.3430404663086
2016-06-27,80.22372436523438
2016-06-28,81.94178771972656
2016-06-29,82.89627075195312
2016-06-30,82.70536041259766
2016-07-01,83.42123413085938
2016-07-04,87.88339233398438
