Date,BRIGADE.NS
2016-05-30,95.21762084960938
2016-05-31,94.9628677368164
2016-06-01,94.93101501464844
2016-06-02,99.00720977783203
2016-06-03,97.92447662353516
2016-06-06,96.10929107666016
2016-06-07,95.88638305664062
2016-06-08,96.77806091308594
2016-06-09,98.40216827392578
2016-06-10,98.84799194335938
2016-06-13,98.75247192382812
2016-06-14,98.72061920166016
2016-06-15,99.45305633544922
2016-06-16,101.01348876953125
2016-06-17,114.61145782470703
2016-06-20,105.18522644042969
2016-06-21,103.43372344970703
2016-06-22,101.42745971679688
2016-06-23,101.58670043945312
2016-06-24,98.72061920166016
2016-06-27,99.42121887207031
2016-06-28,99.19830322265625
2016-06-29,100.0899658203125
2016-06-30,102.19176483154297
2016-07-01,101.9369888305664
2016-07-04,102.86050415039062
