Date,ROST
2016-04-28,52.44417190551758
2016-04-29,51.8415641784668
2016-05-02,52.581146240234375
2016-05-03,52.31635665893555
2016-05-04,52.62678527832031
2016-05-05,51.55854034423828
2016-05-06,52.10635757446289
2016-05-09,53.101566314697266
2016-05-10,52.55373764038086
2016-05-11,49.705101013183594
2016-05-12,50.29856872558594
2016-05-13,49.59553146362305
2016-05-16,50.89202880859375
2016-05-17,49.778141021728516
2016-05-18,49.58640670776367
2016-05-19,50.69116973876953
2016-05-20,47.92470169067383
2016-05-23,47.842529296875
2016-05-24,48.71903991699219
2016-05-25,48.76469039916992
2016-05-26,49.19381332397461
2016-05-27,49.23033142089844
2016-05-31,48.75556564331055
2016-06-01,48.66426467895508
2016-06-02,49.02033615112305
2016-06-03,48.59470748901367
2016-06-06,47.908206939697266
