Date,AWK
2016-04-28,60.734825134277344
2016-04-29,61.045265197753906
2016-05-02,62.244998931884766
2016-05-03,62.0268669128418
2016-05-04,62.4631462097168
2016-05-05,61.7253303527832
2016-05-06,62.4167594909668
2016-05-09,62.64443588256836
2016-05-10,62.829959869384766
2016-05-11,62.83837890625
2016-05-12,63.192562103271484
2016-05-13,62.998592376708984
2016-05-16,63.411781311035156
2016-05-17,61.83491516113281
2016-05-18,61.25309753417969
2016-05-19,61.89394760131836
2016-05-20,61.90237808227539
2016-05-23,61.68315124511719
2016-05-24,62.38304138183594
2016-05-25,61.79276657104492
2016-05-26,62.38304138183594
2016-05-27,62.501102447509766
2016-05-31,62.4842414855957
2016-06-01,63.445518493652344
2016-06-02,63.411781311035156
2016-06-03,64.47427368164062
2016-06-06,63.943050384521484
