Date,BERGEPAINT.NS
2016-05-30,166.611572265625
2016-05-31,159.80242919921875
2016-06-01,161.017333984375
2016-06-02,161.07383728027344
2016-06-03,160.93258666992188
2016-06-06,160.36752319335938
2016-06-07,160.50877380371094
2016-06-08,160.70655822753906
2016-06-09,160.02847290039062
2016-06-10,160.8195343017578
2016-06-13,162.5430450439453
2016-06-14,165.76397705078125
2016-06-15,165.5096435546875
2016-06-16,164.94459533691406
2016-06-17,164.40777587890625
2016-06-20,164.29476928710938
2016-06-21,164.49253845214844
2016-06-22,161.04562377929688
2016-06-23,160.98910522460938
2016-06-24,157.99420166015625
2016-06-27,154.85806274414062
2016-06-28,155.7621612548828
2016-06-29,156.7227783203125
2016-06-30,156.07293701171875
2016-07-01,156.18597412109375
2016-07-04,157.96595764160156
