Date,VALE3.SA
2016-05-25,7.606729507446289
2016-05-27,7.435030937194824
2016-05-30,7.4298295974731445
2016-05-31,7.398610591888428
2016-06-01,7.507873058319092
2016-06-02,7.77842903137207
2016-06-03,8.449609756469727
2016-06-06,8.787800788879395
2016-06-07,8.621308326721191
2016-06-08,8.8450345993042
2016-06-09,8.168649673461914
2016-06-10,7.77842903137207
2016-06-13,7.908501625061035
2016-06-14,7.611932754516602
2016-06-15,7.804441928863525
2016-06-16,7.924111843109131
2016-06-17,7.950124263763428
2016-06-20,8.101011276245117
2016-06-21,8.116620063781738
2016-06-22,8.246694564819336
2016-06-23,8.631715774536133
2016-06-24,7.913703918457031
2016-06-27,7.700382709503174
2016-06-28,8.043778419494629
2016-06-29,8.173853874206543
2016-06-30,8.465219497680664
2016-07-01,8.647324562072754
