Date,CBOE
2016-04-28,56.51495361328125
2016-04-29,54.67082214355469
2016-05-02,55.650238037109375
2016-05-03,55.12083435058594
2016-05-04,55.288475036621094
2016-05-05,55.29729080200195
2016-05-06,55.67670822143555
2016-05-09,55.75611877441406
2016-05-10,56.364952087402344
2016-05-11,55.8443717956543
2016-05-12,56.762020111083984
2016-05-13,56.10906219482422
2016-05-16,56.13554000854492
2016-05-17,55.36788558959961
2016-05-18,55.403175354003906
2016-05-19,55.8443717956543
2016-05-20,56.23258972167969
2016-05-23,55.976715087890625
2016-05-24,56.69142150878906
2016-05-25,56.62965774536133
2016-05-26,56.162017822265625
2016-05-27,56.39142608642578
2016-05-31,56.162017822265625
2016-06-01,55.993751525878906
2016-06-02,55.674949645996094
2016-06-03,55.78121566772461
