Date,SBILIFE.NS
2018-07-04,654.7743530273438
2018-07-05,655.8096923828125
2018-07-06,658.718505859375
2018-07-09,655.5631713867188
2018-07-10,652.112060546875
2018-07-11,652.8515625
2018-07-12,655.4153442382812
2018-07-13,651.8162231445312
2018-07-16,647.0339965820312
2018-07-17,655.2673950195312
2018-07-18,640.1318359375
2018-07-19,624.8976440429688
2018-07-20,624.2073364257812
2018-07-23,643.6322021484375
2018-07-24,645.5056762695312
2018-07-25,650.534423828125
2018-07-26,663.7965698242188
2018-07-27,684.3553466796875
2018-07-30,679.7208862304688
2018-07-31,676.4176635742188
2018-08-01,685.6370849609375
2018-08-02,685.4892578125
2018-08-03,680.1647338867188
2018-08-06,677.0093994140625
2018-08-07,676.516357421875
2018-08-08,667.7406616210938
2018-08-09,663.9938354492188
