Date,IFS.LM
2016-05-19,18.61815071105957
2016-05-20,18.356843948364258
2016-05-23,18.356843948364258
2016-05-24,18.291515350341797
2016-05-25,18.291515350341797
2016-05-26,18.99051284790039
2016-05-27,18.99051284790039
2016-05-31,19.565393447875977
2016-06-01,19.565393447875977
2016-06-02,19.519662857055664
2016-06-03,18.944786071777344
2016-06-06,19.552324295043945
2016-06-07,19.552324295043945
2016-06-08,19.794034957885742
2016-06-09,19.402074813842773
2016-06-10,19.598052978515625
2016-06-13,19.27141761779785
2016-06-14,19.336748123168945
2016-06-15,19.931222915649414
2016-06-16,19.761371612548828
2016-06-17,19.924686431884766
2016-06-20,19.924686431884766
2016-06-21,19.826698303222656
2016-06-22,19.598052978515625
2016-06-23,19.447803497314453
2016-06-24,18.748807907104492
