Date,VTR
2016-04-28,41.448585510253906
2016-04-29,41.35538864135742
2016-05-02,41.68824768066406
2016-05-03,42.23416519165039
2016-05-04,43.5722770690918
2016-05-05,43.84524154663086
2016-05-06,44.005008697509766
2016-05-09,44.37782669067383
2016-05-10,44.537601470947266
2016-05-11,43.678802490234375
2016-05-12,44.41776657104492
2016-05-13,44.44440460205078
2016-05-16,44.75728225708008
2016-05-17,44.18476867675781
2016-05-18,43.525672912597656
2016-05-19,43.21278762817383
2016-05-20,43.46576690673828
2016-05-23,43.60557556152344
2016-05-24,43.945098876953125
2016-05-25,43.945098876953125
2016-05-26,43.931785583496094
2016-05-27,44.144813537597656
2016-05-31,44.158138275146484
2016-06-01,44.324554443359375
2016-06-02,44.418800354003906
2016-06-03,45.28711700439453
2016-06-06,44.94382858276367
