Date,SYY
2016-04-28,36.5281982421875
2016-04-29,36.378170013427734
2016-05-02,38.38383865356445
2016-05-03,38.30486297607422
2016-05-04,38.31277084350586
2016-05-05,38.58913040161133
2016-05-06,38.98394775390625
2016-05-09,39.26031494140625
2016-05-10,39.61564636230469
2016-05-11,39.65513610839844
2016-05-12,39.623531341552734
2016-05-13,39.599853515625
2016-05-16,39.647239685058594
2016-05-17,38.92866516113281
2016-05-18,38.454898834228516
2016-05-19,38.74706268310547
2016-05-20,38.33645248413086
2016-05-23,38.21010208129883
2016-05-24,38.46278381347656
2016-05-25,38.3680419921875
2016-05-26,38.56544494628906
2016-05-27,38.42331314086914
2016-05-31,37.989017486572266
2016-06-01,38.5417594909668
2016-06-02,38.50227355957031
2016-06-03,38.612831115722656
2016-06-06,38.51807403564453
