Date,BME.L
2019-07-04,338.1288146972656
2019-07-05,342.32049560546875
2019-07-08,337.2306213378906
2019-07-09,334.53594970703125
2019-07-10,334.83538818359375
2019-07-11,336.0329895019531
2019-07-12,341.92132568359375
2019-07-15,350.00531005859375
2019-07-16,354.496337890625
2019-07-17,356.29278564453125
2019-07-18,356.6920166015625
2019-07-19,354.2967529296875
2019-07-22,357.2908630371094
2019-07-23,356.392578125
2019-07-24,374.5564880371094
2019-07-25,376.8519592285156
2019-07-26,379.7462463378906
2019-07-29,375.2551574707031
2019-07-30,368.0694580078125
2019-07-31,369.2669982910156
2019-08-01,362.2808837890625
2019-08-02,354.6960144042969
2019-08-05,348.30865478515625
2019-08-06,348.2088317871094
2019-08-07,346.31256103515625
2019-08-08,348.50830078125
2019-08-09,348.30865478515625
2019-08-12,346.8116455078125
2019-08-13,345.3145751953125
2019-08-14,343.3184814453125
2019-08-15,336.1327819824219
2019-08-16,339.22662353515625
2019-08-19,347.31060791015625
2019-08-20,347.4104309082031
2019-08-21,349.30670166015625
2019-08-22,360.284912109375
2019-08-23,354.2967529296875
2019-08-27,364.376708984375
2019-08-28,354.09710693359375
2019-08-29,354.09710693359375
2019-08-30,357.0911865234375
2019-09-02,360.1850280761719
2019-09-03,346.2127685546875
2019-09-04,356.7918395996094
2019-09-05,373.1592712402344
2019-09-06,374.6563415527344
2019-09-09,373.5585021972656
2019-09-10,382.1414489746094
2019-09-11,386.2333984375
2019-09-12,380.9438781738281
2019-09-13,384.2372741699219
2019-09-16,376.1533203125
2019-09-17,372.6602478027344
2019-09-18,373.7581481933594
2019-09-19,373.35888671875
2019-09-20,379.4468078613281
2019-09-23,378.6484069824219
2019-09-24,382.3410339355469
2019-09-25,378.24920654296875
2019-09-26,377.6503601074219
2019-09-27,385.734375
2019-09-30,378.6484069824219
2019-10-01,377.1513977050781
2019-10-02,371.7620544433594
2019-10-03,367.2710266113281
2019-10-04,366.0733337402344
2019-10-07,355.39459228515625
2019-10-08,348.6080322265625
2019-10-09,345.91339111328125
2019-10-10,347.0111999511719
2019-10-11,379.1474304199219
2019-10-14,375.8539733886719
2019-10-15,387.6305847167969
2019-10-16,381.44287109375
2019-10-17,380.5446472167969
2019-10-18,381.5426940917969
2019-10-21,376.0535888671875
2019-10-22,370.96368408203125
2019-10-23,362.2808837890625
2019-10-24,361.7818908691406
2019-10-25,365.4745788574219
2019-10-28,366.0733337402344
2019-10-29,368.8677978515625
2019-10-30,365.4745788574219
2019-10-31,369.5663757324219
2019-11-01,374.8559265136719
2019-11-04,381.6424560546875
2019-11-05,376.35302734375
2019-11-06,367.5704040527344
2019-11-07,374.7561340332031
2019-11-08,372.4607238769531
2019-11-11,377.2511291503906
2019-11-12,356.09320068359375
2019-11-13,371.2630310058594
2019-11-14,370.66424560546875
2019-11-15,377.0516052246094
2019-11-18,385.83416748046875
2019-11-19,386.2333984375
2019-11-20,382.6404724121094
2019-11-21,368.2949523925781
2019-11-22,373.185546875
2019-11-25,379.77294921875
2019-11-26,381.56951904296875
2019-11-27,376.5790710449219
2019-11-28,384.4639587402344
2019-11-29,377.4773864746094
2019-12-02,380.0723571777344
2019-12-03,375.481201171875
2019-12-04,380.1722106933594
2019-12-05,382.56756591796875
2019-12-06,386.460205078125
2019-12-09,395.4429931640625
2019-12-10,387.5580749511719
2019-12-11,389.5542297363281
2019-12-12,390.6521301269531
2019-12-13,408.91717529296875
2019-12-16,420.0957946777344
2019-12-17,412.64306640625
2019-12-18,411.11297607421875
2019-12-19,407.5198059082031
2019-12-20,404.22613525390625
2019-12-23,407.0207824707031
2019-12-24,416.90185546875
2019-12-27,415.6043395996094
2019-12-30,411.2127685546875
2019-12-31,408.8173828125
2020-01-02,404.7252197265625
2020-01-03,400.0341491699219
2020-01-06,402.6292724609375
2020-01-07,404.22613525390625
2020-01-08,404.42578125
2020-01-09,396.4410705566406
2020-01-10,372.28729248046875
2020-01-13,371.58856201171875
2020-01-14,381.4697570800781
2020-01-15,376.1798095703125
2020-01-16,380.0723571777344
2020-01-17,381.7691345214844
2020-01-20,374.98211669921875
2020-01-21,373.9841003417969
2020-01-22,375.2815856933594
2020-01-23,373.7844543457031
2020-01-24,377.2777404785156
2020-01-27,370.19134521484375
2020-01-28,374.28338623046875
2020-01-29,374.3833312988281
2020-01-30,369.8918762207031
2020-01-31,363.0050048828125
2020-02-03,355.51934814453125
2020-02-04,368.19512939453125
2020-02-05,363.1048583984375
2020-02-06,370.29107666015625
2020-02-07,374.78253173828125
2020-02-10,370.29107666015625
2020-02-11,367.4964904785156
2020-02-12,376.27972412109375
2020-02-13,375.0819091796875
2020-02-14,379.77294921875
2020-02-17,381.27008056640625
2020-02-18,379.27392578125
2020-02-19,381.0704650878906
2020-02-20,371.7882385253906
2020-02-21,365.8995666503906
2020-02-24,356.7171325683594
2020-02-25,341.9454040527344
2020-02-26,332.9626159667969
2020-02-27,328.4711608886719
2020-02-28,332.4634704589844
2020-03-02,329.3694763183594
2020-03-03,336.0566711425781
2020-03-04,329.7687072753906
2020-03-05,324.2792053222656
2020-03-06,316.1946105957031
2020-03-09,301.52276611328125
2020-03-10,305.31549072265625
2020-03-11,300.52471923828125
2020-03-12,298.5284729003906
2020-03-13,279.8642578125
2020-03-16,270.0829162597656
2020-03-17,275.4725646972656
2020-03-18,269.88336181640625
2020-03-19,267.4879150390625
2020-03-20,277.9678649902344
2020-03-23,283.1579284667969
2020-03-24,295.4344177246094
2020-03-25,295.0351867675781
2020-03-26,286.5514221191406
2020-03-27,267.88720703125
2020-03-30,267.88720703125
2020-03-31,275.27301025390625
2020-04-01,265.9908447265625
2020-04-02,268.98504638671875
2020-04-03,270.38238525390625
2020-04-06,283.7567443847656
2020-04-07,287.0504455566406
2020-04-08,299.1273498535156
2020-04-09,299.526611328125
2020-04-14,316.9931335449219
2020-04-15,309.90673828125
2020-04-16,301.9219665527344
2020-04-17,322.4826965332031
2020-04-20,324.57861328125
2020-04-21,317.8914489746094
2020-04-22,319.78778076171875
2020-04-23,326.7744445800781
2020-04-24,319.2887878417969
2020-04-27,325.27728271484375
2020-04-28,333.2619934082031
2020-04-29,343.2428894042969
2020-04-30,332.1640930175781
2020-05-01,329.3694763183594
2020-05-04,331.36566162109375
2020-05-05,324.3789978027344
2020-05-06,323.5805358886719
2020-05-07,330.3675537109375
2020-05-11,339.54998779296875
2020-05-12,339.350341796875
2020-05-13,352.32550048828125
2020-05-14,335.2582092285156
2020-05-15,337.3541259765625
2020-05-18,343.841796875
2020-05-19,342.4444580078125
2020-05-20,354.9205322265625
2020-05-21,359.31219482421875
2020-05-22,358.5136413574219
2020-05-26,367.8957214355469
2020-05-27,371.1893615722656
2020-05-28,368.6942138671875
2020-05-29,388.95538330078125
2020-06-01,396.14166259765625
2020-06-02,392.1492919921875
2020-06-03,384.2643737792969
2020-06-04,377.3775634765625
2020-06-05,377.17791748046875
2020-06-08,375.38134765625
2020-06-09,375.38134765625
2020-06-10,379.174072265625
2020-06-11,352.525146484375
2020-06-12,371.2891845703125
2020-06-15,380.5714416503906
2020-06-16,382.56756591796875
2020-06-17,382.2681884765625
2020-06-18,376.479248046875
2020-06-19,385.66168212890625
2020-06-22,395.4429931640625
2020-06-23,398.9363098144531
2020-06-24,391.35076904296875
2020-06-25,394.44488525390625
2020-06-26,391.84991455078125
2020-06-29,397.23956298828125
2020-06-30,396.740478515625
2020-07-01,416.2032470703125
2020-07-02,429.0786437988281
2020-07-03,425.88470458984375
2020-07-06,432.4720458984375
2020-07-07,433.1707458496094
2020-07-08,435.3665466308594
2020-07-09,430.5756530761719
2020-07-10,432.5718688964844
2020-07-13,434.6678466796875
2020-07-14,432.1726379394531
2020-07-15,436.5643005371094
2020-07-16,439.1593017578125
2020-07-17,437.262939453125
2020-07-20,444.1496887207031
2020-07-21,439.3588562011719
2020-07-22,448.6411437988281
2020-07-23,450.3379211425781
2020-07-24,440.95587158203125
2020-07-27,441.8541259765625
2020-07-28,457.5241394042969
2020-07-29,462.5145263671875
2020-07-30,462.9137878417969
2020-07-31,462.1153259277344
2020-08-03,475.48974609375
2020-08-04,471.6969909667969
2020-08-05,473.5933532714844
2020-08-06,478.9830322265625
2020-08-07,485.1712341308594
2020-08-10,482.67596435546875
2020-08-11,481.4782409667969
2020-08-12,486.46875
2020-08-13,490.6607360839844
2020-08-14,490.7605285644531
2020-08-17,493.5550842285156
2020-08-18,488.0657043457031
2020-08-19,488.0657043457031
2020-08-20,480.73291015625
2020-08-21,482.9289245605469
2020-08-24,480.2337951660156
2020-08-25,474.34442138671875
2020-08-26,478.2373962402344
2020-08-27,484.12677001953125
2020-08-28,475.1429443359375
2020-09-01,472.9468994140625
2020-09-02,473.84527587890625
2020-09-03,460.6690368652344
2020-09-04,459.0719299316406
2020-09-07,464.76171875
2020-09-08,459.17181396484375
2020-09-09,458.7724914550781
2020-09-10,463.1645812988281
2020-09-11,463.36419677734375
2020-09-14,463.5638427734375
2020-09-15,466.1591796875
2020-09-16,459.6708679199219
2020-09-17,460.1699523925781
2020-09-18,454.9793395996094
2020-09-21,458.2734375
2020-09-22,458.4730529785156
2020-09-23,472.1483154296875
2020-09-24,475.1429443359375
2020-09-25,486.62225341796875
2020-09-28,489.51708984375
2020-09-29,509.2813720703125
2020-09-30,493.8092956542969
2020-10-01,502.4936218261719
2020-10-02,491.513427734375
2020-10-05,492.6114501953125
2020-10-06,494.90728759765625
2020-10-07,497.302978515625
2020-10-08,496.4046325683594
2020-10-09,493.3102111816406
2020-10-12,497.2031555175781
2020-10-13,502.0943298339844
2020-10-14,508.6824951171875
2020-10-15,508.6824951171875
2020-10-16,508.6824951171875
2020-10-19,508.6824951171875
2020-10-20,503.0924987792969
2020-10-21,497.70233154296875
2020-10-22,494.30841064453125
2020-10-23,498.90008544921875
2020-10-26,485.723876953125
2020-10-27,487.02154541015625
2020-10-28,487.22113037109375
2020-10-29,492.8111572265625
2020-10-30,483.92706298828125
2020-11-02,503.29217529296875
2020-11-03,502.0943298339844
2020-11-04,509.4810485839844
2020-11-05,521.8587036132812
